branch,param,pps,solan,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
base,2,140000,2,1,1,23337051.59427454,138177.36225833333,68.12114166666666
quickscore,1,80000,3,60,8,511.9071085666667,2.59825,7644.488866666667
randforest,1,80000,3,10,32,0.0,76919.19649166666,19796.05185
svm,2,70000,3,1,1,30104893.932832625,70001.78784166666,808.0049583333333
quickscore,1,120000,2,60,16,11565014.786431924,110667.06014166666,645.0301166666667
quickscore,1,30000,1,40,8,11529673.721192233,27694.5705,888.549875
svm,1,130000,3,1,1,12961861.890928667,109119.69009166666,4152.480108333333
quickscore,1,140000,1,70,32,16826195.02757119,121012.9423,648.2944333333334
quickscore,1,80000,1,80,8,18853586.588847727,44358.40099166667,3382.7008833333334
quickscore,1,40000,2,40,16,15741631.679784141,36925.147783333334,867.8884416666666
quickscore,1,100000,3,100,16,3981007.7434976753,92309.88290833334,752.0201916666666
quickscore,1,130000,3,50,32,15078899.89381715,118645.82106666667,619.4022583333333
svm,1,130000,1,1,1,12963726.0673775,109133.6405,4169.6901
quickscore,1,80000,2,30,8,518.433322975,2.6151,6947.73055
base,2,120000,2,1,1,15510392.957145657,119937.02105,71.101075
quickscore,1,50000,2,30,16,19865249.0202899,46156.247275,837.042775
quickscore,1,20000,3,100,8,489.3719697083333,2.348516666666667,8246.375
quickscore,1,30000,3,20,16,11539888.002171017,27694.140558333333,862.405625
quickscore,1,60000,2,60,8,515.8169254416666,2.764966666666667,7613.244441666667
quickscore,1,10000,1,50,8,536.8742909666666,2.9484500000000002,5313.093775
