branch,param,pps,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,150000,20,16,16535366.054268537,118968.68133333334,578.8251916666667
quickscore,1,110000,10,32,7620065.892433971,101530.5926611111,606.6183138888889
randforest,1,60000,20,16,0.0,74427.96188611111,26635.16936111111
randforest,1,30000,10,8,0.0,50934.112347222224,41002.983669444446
randforest,1,10000,20,32,0.0,48719.177869444444,23139354.175738886
quickscore,1,100000,50,16,3969799.098705064,92308.9627361111,691.8205277777778
quickscore,1,10000,10,8,2496703.3525937665,6110.672041666667,2797.020272222222
quickscore,1,50000,90,16,19862156.171452012,46155.87218888889,933.8138666666666
quickscore,1,80000,40,32,31317815.673115756,73847.96363888889,784.1397277777778
quickscore,1,130000,30,16,15165224.099974943,119212.68568611112,582.0516638888889
svm,1,80000,1,1,31111569.735079397,71294.60005555555,4967.513216666667
quickscore,1,60000,70,16,23321830.693607915,55386.54956111111,914.0276055555555
quickscore,1,50000,60,8,13182125.025470793,30771.571574999998,3194.6063083333333
quickscore,1,100000,100,8,521.8401721638888,2.809355555555556,7541.1285777777775
randforest,1,40000,20,64,0.0,79418.5145111111,34229.47201388889
randforest,1,150000,20,16,0.0,93391.20731944444,14436.752916666666
svm,2,40000,1,1,17059188.364121687,40002.92256666667,911.6437194444444
quickscore,1,10000,30,16,3718046.2908399557,9233.127955555556,1398.2763833333333
quickscore,1,40000,40,8,4993232.973918739,11456.644091666667,5211.920536111111
quickscore,1,70000,70,16,27763459.632582285,64617.04744722222,846.8327972222222
quickscore,1,140000,80,32,16724001.611519184,120601.05401944445,667.9109944444444
quickscore,1,140000,60,32,16653018.249968944,120756.7080861111,638.9236722222222
randforest,1,40000,20,8,0.0,60104.66973055556,38598.552444444445
quickscore,1,120000,60,8,1589170.628896884,59121.30896111111,3658.4708194444447
quickscore,1,70000,40,32,27764303.75690152,64617.447136111114,822.5146111111111
quickscore,1,130000,80,16,15062883.96783624,118504.36335277777,641.4187361111111
quickscore,1,20000,70,8,5452027.836948742,12219.032641666667,3303.2468972222223
quickscore,1,150000,40,16,17719640.902511407,121726.58924166666,595.090875
quickscore,1,70000,100,16,27762814.012944832,64617.37981666667,904.0711833333334
base,2,40000,1,1,17046779.026705004,40000.23646666667,89.23508333333334
quickscore,1,60000,100,8,7822071.201811825,18463.971525,5248.979833333334
quickscore,1,40000,20,16,15737557.562286459,36925.29591111111,819.4139444444445
quickscore,1,150000,10,8,5768065.162595448,40947.44947222222,4291.062377777778
quickscore,1,80000,70,8,18882549.364571538,44787.90510277778,3300.330072222222
quickscore,1,20000,80,32,8156785.896379044,18463.640975,1107.3381083333334
quickscore,1,100000,90,8,2573857.9967592726,61540.19089444445,3014.5119916666667
quickscore,1,30000,30,16,11539745.282148356,27694.486938888887,910.7306555555556
quickscore,1,100000,100,32,3969861.664387035,92305.83013055555,786.0799416666666
quickscore,1,40000,30,32,15739868.03519779,36925.11669444444,872.1928277777778
quickscore,1,80000,60,32,31320678.126659993,73844.92541111111,831.1623888888889
quickscore,1,140000,20,8,5673045.4226629045,41014.49946388889,5142.06235
quickscore,1,30000,100,8,7509972.099313037,17802.441866666668,3135.7204972222225
base,2,130000,1,1,19490579.194370534,129744.52389166667,67.09255277777778
quickscore,1,70000,40,8,13327039.272708561,30560.22533611111,4282.748205555556
svm,1,110000,1,1,5640612.803640908,94213.64819722222,4713.41195
quickscore,1,110000,90,32,7137602.855847481,101430.13089444445,753.5107805555556
randforest,1,50000,10,64,0.0,63218.81781388889,34088.52199444445
quickscore,1,40000,20,8,15556471.450831626,36083.829825,978.4874333333333
svm,1,10000,1,1,4027849.015751028,10003.066958333333,11849.864183333333
svm,2,130000,1,1,15274669.013365494,118220.67264444445,627.9139805555556
quickscore,1,140000,70,16,16715214.79430942,121012.10972777777,632.9558833333333
base,2,10000,1,1,5120722.468966577,12715.825772222222,133.89654444444443
quickscore,1,140000,90,8,5579256.196714378,40423.127458333336,4933.006597222222
quickscore,1,70000,60,8,18564032.03261514,43079.30856111111,2880.217827777778
quickscore,1,120000,50,16,11570331.38518538,110696.0684361111,628.0553194444444
quickscore,1,20000,10,32,8154876.6357031865,18463.5585,939.5832083333333
quickscore,1,150000,70,8,2695105.9766092384,33761.188911111116,4632.660430555556
quickscore,1,90000,50,32,35346979.050154015,83078.56539444445,765.7492527777778
quickscore,1,140000,80,16,16764897.701599196,121037.36017222222,644.9788194444444
quickscore,1,130000,100,8,5076482.721060913,39867.737347222224,5086.639194444445
quickscore,1,40000,80,16,15737993.364435412,36925.365813888886,963.3130583333334
quickscore,1,30000,40,32,11540171.728837335,27694.551575,928.9976833333334
quickscore,1,150000,100,32,15613427.798092254,115628.10796666666,726.1382916666666
randforest,1,30000,20,8,0.0,60332.59392777778,39656.27913333334
randforest,1,90000,20,16,0.0,97243.22996944444,17693.710008333335
quickscore,1,110000,50,16,7154760.504540471,101540.33326944444,660.1727500000001
svm,1,150000,1,1,14891647.247997802,111348.29168888889,3680.2421305555554
quickscore,1,140000,20,32,16764197.71133757,121648.82315,574.8933472222222
quickscore,1,150000,10,32,18022056.88615801,122792.26880555555,550.3695583333333
quickscore,1,150000,70,32,17406995.14554666,120469.727675,655.1954888888889
randforest,1,110000,10,8,0.0,67610.93935555556,18299.914402777777
quickscore,1,60000,100,32,23321966.216351673,55386.620380555556,1049.4197916666667
quickscore,1,60000,80,32,23322176.373652868,55386.49422222222,978.8633166666667
randforest,1,10000,10,32,4221.550589202778,23421.13741388889,29807949.35781667
quickscore,1,10000,40,8,2053696.156317239,4929.20405,3346.1036833333333
quickscore,1,80000,20,16,31315374.08236092,73847.45847777778,728.0376333333334
quickscore,1,70000,50,16,27764506.895346086,64617.147125,821.1256527777778
quickscore,1,10000,90,8,1253637.374984075,3033.2953527777777,6447.766966666666
quickscore,1,80000,90,16,31324068.645688742,73847.73729444445,843.9817027777777
quickscore,1,60000,80,16,23322879.886292905,55386.52053055556,930.4844833333333
quickscore,1,70000,40,16,27765329.096233856,64617.20372222222,806.9057805555556
base,2,70000,1,1,30071647.553412467,69995.54081388889,82.56985
quickscore,1,70000,70,8,18566041.624227032,43079.04460277778,2982.820222222222
quickscore,1,100000,50,8,2637401.679992125,61540.20834722222,3007.2243027777777
quickscore,1,20000,90,16,8156117.628625123,18463.65203611111,1093.4650222222222
quickscore,1,110000,90,8,2240555.159552328,33188.98879444444,5088.340680555555
quickscore,1,80000,90,32,31317522.726007223,73847.54061111111,891.1774861111111
randforest,1,120000,10,64,0.0,81448.06803055556,17301.9569
quickscore,1,120000,40,8,7775104.41106968,73815.77024444444,2824.2199972222224
quickscore,1,30000,10,32,11539137.826358076,27694.25520277778,851.9125861111111
quickscore,1,90000,90,8,-7229712.1464269115,66992.06151944444,1921.9466472222223
quickscore,1,30000,80,32,11541832.681878636,27694.191358333333,1075.5798138888888
quickscore,1,20000,10,16,8155054.98215463,18463.611397222223,918.5574555555555
quickscore,1,110000,60,8,3886686.7495306167,65346.10981944444,2806.7108361111113
quickscore,1,150000,40,32,17818177.747023333,121880.63068611111,598.1344555555556
quickscore,1,50000,30,32,19862667.824686494,46155.91271111111,866.1715194444444
quickscore,1,50000,20,32,19860340.196561392,46155.46925833333,826.21485
quickscore,1,80000,70,16,31321560.995482862,73847.14865833333,806.3249361111111
quickscore,1,70000,20,8,18580272.840136163,43079.18782222222,2831.554225
quickscore,1,20000,40,16,8154841.19722442,18463.803255555555,1009.2906777777778
quickscore,1,70000,90,8,7632289.4250080725,17682.942891666666,5664.176761111111
quickscore,1,50000,70,8,6619348.712385409,15387.164022222221,4758.816316666666
quickscore,1,120000,90,32,11494763.126331747,110118.44901111111,706.3821888888889
quickscore,1,130000,70,16,15080534.86326386,118656.71701111112,639.2593277777778
quickscore,1,20000,100,16,8157537.155164897,18463.441047222223,1085.5851861111112
quickscore,1,50000,40,8,13133400.806453526,30771.544527777776,2952.922002777778
quickscore,1,110000,60,32,7148738.881550587,101538.78270555555,715.0846194444445
